id,genres,budget,status,title,voteAvg,voteCount,revenue,releaseDate,popularity,Opening_Weekend,Theatres,Sequel,Famous Cast,Famous Cast Scale
244786,"Music, Drama",0,Released,Whiplash,8.4,1352,13993092,10-10-2014,8.211378,135388,6,0,0,4
198277,"Comedy, Music, Romance, Drama",0,Released,Begin Again,7.3,544,63464861,27-06-2014,1.661669,134064,5,0,0,4
97370,"Thriller, Science Fiction, Drama",13300000,Released,Under the Skin,5.9,441,5380251,14-03-2014,1.007031,133154,4,0,0,6
68727,"Thriller, Crime, Drama, Mystery",20000000,Released,Trance,6.4,545,24261569,27-03-2013,0.687867,131145,4,0,0,4
205220,Drama,12000000,Released,Philomena,7.4,264,100129872,27-11-2013,0.916422,128435,4,0,0,4
203833,Drama,0,Released,The Book Thief,7.4,433,76586316,08-11-2013,0.883169,105005,4,0,0,4
193756,"Action, Drama, Thriller, War",40000000,Released,Lone Survivor,7.4,786,149295601,24-12-2013,1.414374,90872,2,0,1,7
246741,"Comedy, Horror",0,Released,What We Do in the Shadows,7.3,275,3469224,19-06-2014,1.108281,88940,5,0,0,4
152603,"Drama, Horror, Romance",7000000,Released,Only Lovers Left Alive,7,224,0,11-04-2014,0.548768,87989,4,0,0,4
265195,"Comedy, Drama, Thriller",0,Released,Wild Tales,7.7,309,27007072,21-08-2014,1.229263,85100,4,0,0,4
210479,"Drama, Thriller",2000000,Released,Locke,6.7,314,4635300,18-04-2014,0.931661,81006,4,0,0,4
127560,"Drama, History",18000000,Released,The Railway Man,6.5,101,22309223,26-12-2013,0.990975,61845,4,0,0,6
149871,"Fantasy, Animation, Drama",49300000,Released,The Tale of the Princess Kaguya,7.8,119,24186232,23-11-2013,1.101823,54915,3,0,0,4
206487,"Science Fiction, Thriller",5500000,Released,Predestination,7.1,663,3000000,28-08-2014,1.381098,44028,20,0,0,4
187596,Comedy,15000000,Released,Walk of Shame,5.6,287,59209,02-05-2014,1.414546,39751,51,0,0,4
217923,"Action, Crime, Fantasy, Adventure",0,Released,Young Detective Dee: Rise of the Sea Dragon,6,40,72287783,27-09-2013,0.577599,32795,35,1,0,4
242224,"Drama, Thriller, Horror",2000000,Released,The Babadook,6.4,553,4222200,22-05-2014,1.669212,30007,3,0,0,4
152780,"Drama, Mystery",11000000,Released,The Past,6.8,74,10631747,17-05-2013,0.529529,29270,3,0,0,4
244267,"Science Fiction, Drama",0,Released,I Origins,7.3,326,336472,18-07-2014,0.819514,27652,4,0,0,4
171372,"Comedy, Drama, Mystery",0,Released,Frank,6.7,270,645186,09-05-2014,0.491924,16056,1,1,0,4
200727,"Romance, Comedy",0,Released,"Love, Rosie",7.6,400,4439431,16-10-2014,2.102966,14893,15,0,0,4
150117,"Comedy, Romance",0,Released,I Give It A Year,5.4,169,28234657,08-02-2013,0.615495,5436,2,0,0,4
152742,"Drama, Romance, Crime, Mystery",13500000,Released,The Best Offer,7.6,226,19255873,01-01-2013,0.779423,2595,1,0,0,4
241239,"Action, Thriller, Crime, Drama",20000000,Released,A Most Violent Year,6.5,229,0,31-12-2014,3.211811,,,0,0,4
262543,"Thriller, Science Fiction",7000000,Released,Automata,5.6,293,0,09-10-2014,2.563052,,,0,0,4
204922,"Mystery, Thriller",0,Released,Before I Go to Sleep,6,300,0,31-10-2014,2.21794,,,0,0,4
262391,Comedy,13000000,Released,Serial (Bad) Weddings,7.1,408,0,16-04-2014,2.211285,,,0,0,4
239563,Comedy,0,Released,St. Vincent,7.2,338,0,31-10-2014,2.155934,,,0,0,4
293310,Documentary,0,Released,Citizenfour,7.9,233,0,10-10-2014,1.959091,,,0,0,4
238215,"Fantasy, Comedy, Drama",0,Released,The Cobbler,5.6,210,0,11-09-2014,1.674046,,,0,0,4
192102,"Action, Drama, Thriller, Crime",28000000,Released,3 Days to Kill,6,507,0,14-02-2014,1.568952,,,0,0,4
304410,"Comedy, Drama, Music",11000000,Released,The Bélier Family,7.3,284,0,17-12-2014,1.454526,,,0,0,4
241848,"Mystery, Thriller, Action",0,Released,The Guest,6.6,256,0,17-09-2014,1.39512,,,0,0,4
181886,"Thriller, Mystery",0,Released,Enemy,6.5,380,0,14-03-2014,0.993323,,,0,1,7
286554,"Romance, Comedy",0,Released,Two Night Stand,6.4,255,0,26-09-2014,0.802194,,,0,0,4
